Game portal username,Имя пользователя
Buy price:,Цена покупки:
Markers,Маркеры
Custom,На выбор
Companion camp interactions,Взаимодействие спутников в лагере
Animals,Животные
Mind,Разум
Cendanius,Ценданий
Send,Отправить
Custom Cursor,Пользовательский курсор
The Taint,Скверна
Stack slots:,Слоты суммирования:
Factions,Фракции
Music Loop Delay,Задержка музыкальной петли
Open tracker in browser,Открыть в браузере
Leave Settlement,Оставить поселение
Forced March,Принудительный марш
Description * (What, When, Where),Описание * (что, когда, где)
You do not have any,У вас нет ни одного
Event / Task,Событие / задание
Owned Equipment,Собственное снаряжение
Resistances,Сопротивления
Crew,Экипаж
Choose goal,Выбрать цель
Slerad,Слерад
The Septarius Alliance,Альянс Септария
Character Gear,Механизмы персонажа
Friendly ranged or self,Дружественный дальний бой или сам
Leadership,Лидерство
Scortaur,Скортавр
Jhakra,Джакра
Assign Deputies,Назначить заместителей
No offer,Нет предложений
Defense,Защита
Combat Defense:,Боевая защита:
Race,Раса
Lavendius,Лавендиус
Crew tab,Вкладка Экипаж
Taken hostages,Захваченные заложники
Cadmador,Кадмадор
Action,Действие
Rumors,Слухи
Lumen,Люмен
Tarkian,Таркийцы
Velarias,Велариас
Vagrus Pane,Панель вагруса
Mute,Отключить звук
Dynamic Pricing,Динамическое ценообразование
Prefectus,Префект
Dark Elves,Тёмные эльфы
Joins,Присоединяется
Aftermath,Последствия
Adversaries,Враги
Send report,Отправить отчет
Foraging,Собирательство
Results,Результаты
End Camp,Свернуть лагерь
He,Он
Flametear Lake,Озеро Огненная слеза
Consumption,Потребление
Confirm Target,Подтверждение цели
Pay now,Выплатить сейчас
Scroll up,Прокрутка вверх
Krawag,Краваг
Iyabwi,Иябви
Slave,Раб
Poison,Яд
No effect,Нет эффекта
Tor'Zag's Shelter,Убежище Тор'Зага
Difference,Разница
Lanista,Ланиста
Mortakpolis,Мортакполис
-None-,-Нет-
Mine,Шахта
Slimegrass,Слизевая трава
Items,Предметы
Save,Сохранить
Crew Change,Смена экипажа
Mounts,Ездовые звери
Your Items,Ваши предметы
it,его
Skills,Умения
Target damage distribution,Распределение повреждений
Get language packs,Получить языковые пакеты
Demonkin,Полудемон
Counts as Malevolent,Считается злым
Discord,Discord
The Hollow Crags,Полые скалы
Shalimi,Шалими
Auto offer,Автоматическое предложение
Calling:,Призвание:
Windowed,В окне
Quarry,Карьер
Your,Ваш
Orcish Spirit Faith,Оркский дух веры
 Insufficient armed crew, Недостаточно вооруженного экипажа
Ahskul,Ахскул
Load Game,Загрузить игру
Handjari,Ханджари
Give them time,Дать им время
Exchange,Обменять
Impediment,Препятствие
Scouting,Разведка
Resourcefulness,Находчивость
Reptile,Рептилия
The Province,Провинция
Settlement Types,Виды поселений
Reputation Tier,Уровень репутации
Event,Событие
Insight,Проницательность
Event Scroll Buttons,Кнопка прокрутки события
Release,Освободить
The Voiceless Lake,Озеро безмолвия
Custom Notes,Пользовательские заметки
Item,Предмет
Sorted,Сортировка
Upkeep,Плата
Unknown,Неизвестно
Controller Cursor Speed,Скорость курсора контроллера
Worker,Рабочий
Neutral,Нейтральный
Toht,Тот
Maar Gorad,Маар Горад
Sabotage,Саботаж
Production workforce,Производственная рабочая сила
Yrg,Ирг
Obedience,Послушание
Defenders Kept Alive,Защитники остались в живых
Immunities,Невосприимчивость
Ifreanni,Ифреанни
Faction tasks,Задачи фракции
Display price:,Отображать цену:
Beast of Burden,Вьючный зверь
Irafons,Ирафонс
Mercatus Games,Игры Меркатуса
Node Tracking,Отслеживание узлов
Leto,Лето
Continue,Продолжить
Vitality,Живучесть
1 local news,1 местная новость
Unable to post guards,Невозможно выставить стражу
Market,Рынок
Ambition:,Стремление:
Price history pane,Панель истории цен
Distance,Расстояние
Dedicated Mounts,Выделенные всадники
Chief Handler,Укротитель зверей
Factions tab,Вкладка Фракции
Day,день
CoC Animations,Анимация CoC
Settlements,Поселения
Outriders,Наездники
In use by,Используется
Elite,Элита
Rumor field,Поле слухов
Turkish,Турецкий
End Day,Конец дня
Slaves,Рабы
Heap King,Король кучи
Tahrar Barak,Тахрар Барак
Vigilus Tower,Башня Вигилуса
Flee,Бежать
The Ioscian Quarry,Йошианский карьер
Companion Combat,Бой спутников
Goal,Цель
Sack,Захватить
Reserves,Резервы
The Twin Gods,Боги-близнецы
Block,Блок
Perks Granted:,Дарованные навыки:
Deputies tab,Вкладка Заместители
Tags,теги
Mokoru,Мокору
Heal,Вылечить
Renown,Известность
What are you reporting? *,Что вы хотите сообщить? *
Cargo slot,Грузовой слот
Trading House,Торговый дом
Prowess,Мастерство
Send Crash Reports,Отправка отчетов о сбоях
The Constrictor,Констриктор
The Green Continent,Зелёный континент
Nerudis,Нерудис
From,С сайта
Combat skills,Боевые умения
Standing order,Удерживать позицию
Ghost Mushrooms,Призрачные грибы
Not experienced enough to judge these prices,Не достаточно опытен, чтобы судить об этих ценах
Odd Jobs,Подённая работа
Companion Select,Выбор спутника
Free Cargo Slots,Свободные грузовые слоты
Credits,Авторы
Tectum,Тектум
Full,Полная
Character Sheet,Панель персонажа
Production,Производство
Blackblood Mountains,Чернокровые горы
Costs,Затраты
Purgatoria,Чистилище
Restock,Пополнить запасы
Scouting,Разведка
Move on,Двигаться дальше
Not in demand,Не востребован
Necromancy,Некромантия
Grufta,Груфта
Gfx Level,Уровень графики
Quick Camp,Быстрый лагерь
North Calerus,Северный Калерус
Events,События
Xavarum,Ксаварум
Professions,Профессии
Fire,Огонь
Workforce,Рабочая сила
Enduring Effects,Долговременные эффекты
Old Hand Marcus,Ветеран Маркус
Exploration,Исследование
Centurion,Центурион
Accrued Supplies,Добытые припасы
Evade,Уклонение
Wholesale Deals,Оптовые сделки
Doranmathar,Доранматар
Caldarius,Калдарий
Escort,Сопровождать
Right,Вправо
Formation templates:,Шаблоны построений:
Vagrus,Вагрус
Statio,Статио
Event Toggles,Переключение событий
Pillage,Грабить
Cancel,Отмена
Stories,Истории
Crew Combat Basics,Основы боя экипажа
Character Pane,Панель персонажа
Notes,Заметки
Facta,Факта
 Sufficient armed crew, Достаточно вооруженного экипажа
Avernus Legion,Легион Авернума
Currently Inactive Effects,Неактивные эффекты
Fort Larius,Форт Лариус
Ambush,Засада
Mansio,Мансио
Crew Combat,Бой экипажей
Liberated tribe,Свободное племя
Settlement,Поселение
Deal with the enemy,Договориться с врагом
Sort by:,Сортировать по:
Mercatus,Меркатус
Ratharnak Alliance,Альянс Ратарнак
The Valley of Sleepers,Долина спящих
Persistent,Постоянный
Workers,Рабочие
Movement,Движение
Vaelanesthil,Ваэланестил
Secondary Language,Вторичный язык
His,Его
Reputation points:,Очки репутации:
Loyalty,Верность
Supply run,Выполнить поставку
The Hills of Plenty,Холмы изобилия
Faction Reputation Tier,Уровень репутации фракции
Vagrus Perks,Навыки вагруса
Double Tap,Двойное нажатие
Background,Происхождение
Escort,Сопровождение
CRIT,КРИТ
The Dragon War,Война драконов
Laviena,Лавьена
Friendly ranged,Дружественный дальний бой
The Crimson Gate,Багровые врата
Then bring them to,Затем доставьте их в
Changers,Ченгеры
Race:,Раса:
Moderate,Умеренный
Codex,Кодекс
Refuge,Убежище
Arenas Vorax,Аренас Воракс
Cost,Стоимость
Mammal,Млекопитающее
vagri,вагрусы
Select Game Mode,Выберите режим игры
The Outer Realms,Внешние царства
Trading,Торговля
Success,Успех
Salum's Truth,Истина Салума
Nothing,Ничего
Very High,Очень высокий
Darkmoor,Темнотопье
Obtaining Codex Entries,Получение записей Кодекса
Fighters,Бойцы
Active,Действующие
The Vortex,Вихрь
Beasts,Звери
Combat Skills & Traits,Боевые умения и черты
Show,Показать
Debt,Долг
Spellweaver,Заклинатель
its,его
Stonethorn,Каменный шип
Killed or wounded crew,Убитый или раненый экипаж
The Wound,Рана
Primary,Первичный
Requirements:,Требования:
Status,Статус
Companion combat during crew combat,Бой спутников во время боя экипажей
missing cargo,пропавший груз
Medkit,Аптечка
Pinch,Зажать
Abolitionists,Аболиционисты
Comes,Комес
Failed,Провалено
Procure Goods,Закупка товаров
Magic,Магия
Authority,Авторитет
Bandul,Бандуль
Sand Wyrm,Песчаный вирм
EVENT,СОБЫТИЯ
Effects Volume,Громкость эффектов
The Twelve,Двенадцать
Reward,Вознаграждение
Dampsmoke,Влажный дым
Faction offers,Предложения фракций
Extras,Дополнительно
Receive:,Получить:
House Oquo,Дом Окво
Music Volume,Громкость музыки
Loom,Лум
Everdark,Вечнотемье
Event Ease Speed,Замедление прокрутки
Display Mode,Режим отображения
The Dragonlords,Повелители драконов
Companions,Спутники
Chase,Преследовать
Required Combat Encounters:,Необходимые боевые столкновения:
Other Skill-related Conditions,Другие состояния, связанные с умениями
South Calerus,Южный Калерус
Encourage,Поощрение
Journal,Журнал
Companion Pool,Список спутников
Resting,Отдых
Narration Volume,Громкость речи
Dust Moaner,Пыльный плакальщик
Risks,Риски
Hide Base Frames,Скрыть базовые рамки
Discoveries,Открытия
Email *,Email *
Tasks,Задачи
Background:,Происхождение:
Sack Result,Результат разграбления
Scroll down,Прокрутка вниз
The Smolderbone Flats,Равнина тлеющих костей
Map Follow Speed,Скорость следования по карте
Daily Upkeep,Суточное содержание
Camping,Лагерь
Sadirar,Садирар
Victory Conditions,Условия победы
Bypass Properties,Свойства обхода
Show Version,Показать версию
Combat Clash Speed,Скорость боевого столкновения
The Nosferatis Sisterhood,Сестринство Носфератис
Mix with default pack,Дополнить машинным переводом
Leader,Лидер
To,К
Confirm,Подтвердить
Ashmen,Пепельщики
Forfeit,Пропустить ход
Save Game,Сохранить игру
Nox,Нокс
Kal-rish,Каларрук
Dragonsteel,Драконья сталь
Accrued Upkeep,Начисленное жалование
Cold,Холод
Stories,Истории
Windowed Fullscreen,Полноэкранное окно
Sepis Mountains,Горы Сепис
Language,Язык
Heal Phase,Фаза исцеления
News,Новости
Bross,Бросс
Passengers,Пассажиры
Larnak,Ларнак
Gained by your comitatus,Получено вашим комитатом
Enemy Attributes,Атрибуты противника
Factions,Фракции
Defender Surrendered,Защитник сдался
Display Round,Отображение раунда
Ash Qurru,Пепельный курру
News,Новости
Companions tab,Вкладка Спутники
Resume,Возобновить
Dragonguard,Драконья стража
Hire,Нанять
Campaign Map,Карта кампании
Renown Ambition,Стремление к известности
Ease,вкл.
Vigilance,Бдительность
Appeased,Умиротворенный
Dvendar Tharr,Двендар Тарр
Stinger Scorpion,Жалящий скорпион
Pick up,Подобрать
Rest,Отдых
Rations,Пайки
The Calamity,Катастрофа
Select a banner,Выберите знамя
Pay Debt,Выплатить долги
Deputies,Заместители
Automarch,Автомарш
Node track toggle,Переключение трека узлов
Round,Раунд
Post,Разместить
or generate one,или сгенерируйте его
Price History,История цен
Execute,Казнить
She,Она
Sunken Ruin,Затопленные руины
Combat,Бой
The Loaders' Guild,Гильдия грузчиков
Russian,Русский
Relations with other Factions,Отношения с другими фракциями
Perk,Навык
Vigilus,Вигилус
Quathos,Куатос
Not available at the moment,Сейчас нет в наличии
Ruin,Руины
Penalties,Штрафы
Potential Loot,Потенциальная добыча
Major Fort,Крупный форт
Kromagonis,Кромагонис
build number,номер сборки
Dragonkin,Драконид
The Senate,Сенат
Electric,Молния
Line of Sight,Линия видимости
Rewards,Вознаграждения
Healing,Исцеление
Encounter Difficulty:,Сложность столкновения:
Kotrar,Котрар
Chart,Карта
Avernum,Авернум
Amicable,Дружелюбный
Eitrar,Эйтрар
Scouts,Разведчики
Equipment,Экипировка
Var'Dak's Landing,Высадка Вар'Дака
UI Zone Zooming,Масштабирование зоны UI
Chinese,Китайский
Fighter,Боец
Potential Combat Encounters:,Потенциальные боевые столкновения:
Deputies,Заместители
Dustwind Outpost,Застава Пыльный ветер
The Crimson Order,Багровый орден
Character Skills,Умения персонажа
Obscuris,Обскурис
Exit to main menu,Выход в главное меню
Orcs,Орки
Workforce needed,Надо рабочей силы
Flavo Calerus,Флаво Калерус
Defense Orders,Порядок обороны
Current Beast Type,Текущий тип зверя
Sun Rock,Солнечная скала
Hungarian,Венгерский
Aid,Помощь
Buy Off,Выкупить
Quick camp,Быстрый лагерь
The Sapphire Pass,Сапфировый перевал
Switch target,Переключить цель
Capture,Захватить
Ready,Готово
Hirelings,Наёмники
Enter your name...,Введите своё имя...
Polish,Польский
Price History,История цен
The Golden Age,Золотой век
None,Нет
Utvorar,Утворар
settings file,файл настроек
Power Regen.,Восст. силы
Target missing,Цель отсутствует
Dwarves,Дворфы
Completed,Завершено
Impervious Enemy,Непроницаемый враг
Downed Vit.,Порог смерти
To deliver,Доставить
Qualities,Качества
Optimal,Оптимально
Mount,Гора
Hargad Tuul,Харгад Туул
Arken,Аркен
Gear,Механизмы
Combat Sheet,Боевой лист
Stop the comitatus for...,Остановить комитат для...
Turn in,Сдать
Categories:,Категории:
Hunting,Охота
Half-Elves,Полуэльфы
Power,Мощь
Sergorod,Сергород
Zoom in,Увеличить
Deputy,Заместитель
Up,Вверх
Sell price:,Цена продажи:
The Singing Winds,Поющие ветра
Trade Offers,Торговые предложения
Reset to Default,Сброс настроек
CrC Instant Anim,Анимация CrC
In demand,Востребован
Insectoid,Инсектоид
Enemy Destroyed,Враг уничтожен
Changes will take effect after you restart the game.,Изменения вступят в силу после перезапуска игры.
Gain,Приобрести
Accuracy,Точность
Fort,Форт
Deploy Companions,Развернуть спутников
Miscellaneous,Разное
Imprison,Взять в плен
Obedience and Nutrition,Послушание и питание
Units/Stack,Единицы/Стопка
Trade news,Торговые новости
Game Log,Журнал игры
The Orc War,Война орков
Fighting Crew,Боевой экипаж
Crystalmancer,Заклинатель кристаллов
Acquire Supplies,Добыть припасы
Mansio Pane,Панель мансио
DMG,УРН
Initiative,Инициатива
Counts as kind,Считается добрым
Left Settlement,Покинуть поселение
Discipline,Дисциплина
Collegium,Коллегия
chance of success,шанс на успех
Help,Помощь
I understand,Я понимаю
Enchanted,Зачарованный
Combat Deployment,Боевое развертывание
Carravhon,Карравхон
Enemies,Враги
Supercargo,Кладовщик
Combat Rounds,Раунды боя
Gear,Механизмы
Bogweed,Болотник
Combat Damage,Боевой урон
Critical Success,Полный успех
Bring Reinforcements (optional),Привести подкрепление (необязательно)
Kalani,Калани
Story,История
The Hills of Talien,Холмы Талиена
Zyrn,Зирн
Targeting Options,Настройки прицеливания
This choice can not be altered later.,Этот выбор не может быть изменен позднее.
Working Crew,Рабочий экипаж
Salum,Салум
Guards,Охрана
Master Volume,Общая громкость
Tools,Инструменты
Village,Деревня
Close UI / Open Main menu,Закрыть UI / Открыть главное меню
Hardness,Прочность
Options,Настройки
To the previous level:,До предыдущего уровня:
Sakret,Сакрет
Dragonbone,Драконья кость
Movement Buffs and Penalties,Бонусы и штрафы передвижения
Reputation,Репутация
Mark toggle,Переключить метку
Zenraki Eradicator,Искоренитель Зенраки
Conscript,Призывник
Attributes,Атрибуты
Vyndemis,Виндемис
Portuguese (Brazil),Португальский (Бразилия)
Arm,Вооружиться
Direct Button,Кнопка
Positioning During Combat,Позиционирование во время боя
The Carpenters' Guild,Гильдия плотников
Combat Encounter,Боевое столкновение
Combat Encounters,Боевые столкновения
Quit Game,Выйти из игры
Take,Взять
Rumors,Слухи
French,Французский
Exceeds deploy limit,Превышен лимит развертывания
Slavedriver,Погонщик рабов
during camp,в лагере
Market Pane,Панель рынка
Perks,Навыки
Sell,Продать
City,Город
Low,Низкий
platform,платформа
Outpost Status,Состояние заставы
Скифихнис Covenant,Ковенант Скифихнис
Sorcery,Колдовство
Taken by the enemy,Захвачено врагом
Effects,Эффекты
Perk Summary,Сводка навыков
Units,Единицы
The Dragonlands,Драконьи земли
Valuables Protected,Ценности защищены
Brightkelp,Яркая водоросль
Outpost prerequisites,Необходимые условия для заставы
Wealth Ambition,Стремление к богатству
Vagrus,Вагрус
Swap,Обмен
Defeat,Поражение
Market tab,Вкладка Рынок
Target First Available,Первая доступная цель
Penalty,Штраф
The Church of Sergorod,Церковь Сергорода
Crew Details,Детали экипажа
Warded,Защищён
Glossary Template,Шаблон глоссария
Unit damage distribution,Распределение урона
Secondary,Вторичный
Offered Cargo,Предлагаемый груз
Friendly nearby or self,Дружественный стоящий рядом или сам
Forfeit,Пропуск хода
Knowledge Ambition,Стремление к знаниям
Calling,Призвание
Equipped,Экипировано
Comitatus Log,Журнал комитата
Zoom out,Уменьшить
Journal,Журнал
Conquer,Завоевать
Tempest Peak,Пик бури
Archived,Архив
Arenas Negras,Аренас Неграс
None,Нет
The Emperor's Road,Дорога императора
Port Navarum,Порт Наварум
Harnesses,Упряжь
Attacker Retreated,Атакующий отступил
Active Effects,Активные эффекты
Ch.,Гл.
Chapter,Глава 
Associates,Соратники
Triumvirate,Триумвират
Windbelt,Пояс ветров
Then escort them,Затем сопроводите их
Offense,Нападение
No bonuses; No penalties,Без бонусов; Без штрафов
Faction Offers,Предложения фракций
Recruit,Вербовать
The Imperial Calendar,Имперский календарь
Scrapheap,Свалка
Eliminate your targets,Устраните цели
Potential Targets,Потенциальные цели
Xyn,Ксин
New Game,Новая игра
House Venari,Дом Венари
Vagrus Combat Actions,Боевые действия вагруса
Controller Settings,Настройки контроллера
Resentful,Возмущённый
Your passengers,Ваши пассажиры
Arkon,Аркон
Scorponar,Скорпонар
Full UI Zoom,Полное масштабирование UI
Exchange News,Обмен новостями
The Acherus Quarry,Акеруский карьер
Demons,Демоны
Oghres,Огры
Harbor,Гавань
Morale,Моральный дух
Pursue,Преследовать
Main Campaign,Основная кампания
Claim,Заявить
Cargo tab,Вкладка Груз
Days,дней
Deliver,Доставить
Name,Название
Dragon Magic,Драконья магия
The Order of Kajubra Sha,Орден Каджубра Ша
Main Menu,Главное меню
Calerus,Калерус
Captured targets,Захваченные цели
Tasks,Задачи
The Empire,Империя
Tark,Тарк
Daytime Supply Acquisition,Дневное снабжение
Companion Loyalty Questlines,Цепочки заданий спутников
Entry Title...,Название записи...
Defense orders,Порядок обороны
Critical fail,Полный провал
Time,Время
Limiting and manipulating enemies,Ограничение и манипулирование врагами
Dissonance Mode,Режим диссонанса
Japanese,Японский
Negotiate,Переговоры
Guard Captain,Глава стражи
Fort Refugis,Форт Рефугис
Cargo,Груз
Attacker Disengaded,Атакующий отступил
Daily Upkeep,Суточное жалование
Wraiths,Рейфы
Bal Ur Kaal,Баль Ур Кааль
Saved Formation,Сохраненное построение
To the next level:,До след. уровня:
Down,Вниз
Resistances,Сопротивления
Ash,Пепелище
Post no guards,Не выставлять стражу
Bounty,Нажиться
Locations and HQs,Локации и штабы
Font Size,Размер шрифта
Status Effects,Эффекты состояния
Enemy,Враг
Tartaris,Тартарис
Armor Piercing,Пробивание брони
Outpost upkeep,Содержание заставвы
Any Race,Любая раса
Use skill,Использовать умение
Crystal,Кристалл
Bleed,Кровотечение
Sergoros,Сергорос
Town,Город
Event Image Camera,Анимация событий
The Dead Forest,Мёртвый лес
Multiphase Combat Actions and Properties,Многофазные боевые действия и свойства
Inspire,Вдохновить
POW,СИЛ
Draka,Дракка
Cargo Hold,Грузовой отсек
Fight Phase,Боевая фаза
Wages,Жалование
Video,Видео
Trade tasks,Торговые задания
The Order of the Keepers,Орден Хранителей
Boost,Повысить
Opponents,Противники
Arkoros Forest,Лес Аркорос
The Last Oasis,Последний оазис
Freed Hostages,Освобожденные заложники
Fight,Бороться
Fullscreen,Полноэкранный
Language Pack,Языковой пакет
Arcane Storm,Мистический шторм
Distribute,Распределить
Scout,Разведчик
Story tab,Вкладка История
Resistances,Сопротивления
Send scouts,Послать разведчиков
save file,файл сохранения
Arms,Оружие
Tower,Башня
Enslave,Поработить
Extra,Дополнительно
Haerkenrath,Аэркенрат
Tectum Carvos,Тектум Карвос
Navigation,Навигация
Vigor,Бодрость
Terathion's Fall,Падение Тератиона
General,Общие
Lure Away,Выманить
Price date,Свежесть
Jel'Kerai,Джел'Керай
Contraband,Контрабанда
Rock Storms,Скала штормов
Pilgrims of the Wasteland,Пилигримы пустоши
Search...,Поиск...
Vratluk,Вратлук
Proficiency,Очки мастерства
Spanish,Испанский
Empower,Укрепление
Activate,Активировать
Defend,Защищать
Glossary,Глоссарий
Friendly nearby,Дружественный стоящий рядом
Fort Viridium,Форт Виридиум
Audio,Аудио
Tanat,Танат
High,Высокий
Tainted,Осквернённый
Offered Items,Предлагаемые предметы
Qualities,Качества
Goals,Цели
Hover Selection,Выбор наведения
Active Action,Активное действие
The Drusian Quarry,Друзианский карьер
Requirements,Требования
Vitality,Живучесть
Dajmaha,Даймаха
comitati,комитаты
Passengers,Пассажиры
Source Location:,Местонахождение источника:
The Plains of Bone,Равнины костей
Auto-scouting,Авторазведка
Sharduk,Шардук
Equipment,Снаряжение
Settlement Faction Pane,Панель фракций поселения
Lake Gehennis,Озеро Гееннис
Italian,Итальянский
Imperials,Имперцы
Currency,Валюта
Wyrm's Teeth,Зубы вирма
Total Workforce,Всего рабочей силы
Buy,Купить
Comitatus,Комитат
Enduring Effects,Долговременные эффекты
Combat Strength:,Боевая сила:
Assasinate,Убийство
The Bronze Desert,Бронзовая пустыня
Outpost enduring effects,Долговременные эффекты заставы
Lyrg,Лирг
Stand down,Бездействовать
The Spires,Шпили
Income,Доход
VSync,Верт. синхронизация
None,Нет
Defender Fled,Защитник бежал
Goods,Товары
Last choice / Bottom,Последний выбор / Внизу
Toggle Single Choice,Переключить выбор
Your targets,цели
The Mountain of Kor,Гора Кор
Empty Position,Пустая позиция
For,Для
Prepare,Подготовить
ACC,ТЧН
Exploration,Исследование
Aestamort,Эштаморт
Save settings,Сохранить настройки
Scout now,Разведать сейчас
Enemies,Враги
End,Завершить
Armor,Броня
Mirage,Мираж
The Twin Towers,Башни-близнецы
The Writhing Oasis,Истерзанный оазис
Medicos,Медикос
House Darius,Дом Дариус
Max Framerate,Максимальная частота кадров
Scouting Results,Результаты разведки
The Emperor,Император
Objectives,Цели
Crew Combat Actions,Боевые действия экипажа
Traverse,Переход
Story pane,Панель истории
Crew Status,Статус экипажа
Abduct,Похитить
Reputation,Репутация
Mercenary tasks,Задания наёмников
Settled Oasis,Заселенный оазис
Disgruntled,Недовольный
Deven,Девен
Ordis Negras Solis,Ордис Неграс Солис
Initiative Order,Порядок действий
Crave FulFilled,Жажда удовлетворена
Ghorfimbul,Горфимбуль
Auto fill,Автоматическое заполнение
Companion Conditions,Состояние спутника
Marauder Prime,Главный мародёр
Mansio tab,Вкладка Мансио
Insight,Проницательность
Power,Сила
Post guards,Выставить охрану
Language Pack,Языковой пакет
Mix with default pack,Дополнить машинным переводом
Get language packs,Языковые пакеты
CONTROLLER SETTINGS,НАСТРОЙКИ КОНТРОЛЛЕРА
Mod.IO Interface,Интерфейс Mod.IO
Leave,Выйти
No Companions,Нет спутников
No skill,Нет умения
DMG,УРН
Loyal,Преданный
Region,Регион
All,Все
Chapter,Глава
Chapter 1,Глава 1
New Day,Новый день
Cendanius,Ценданиус
Ambition: Renowned Vagrus,Стремление к известности
Vigilance,Бдительность
Negotiate,Переговоры
Chase,Преследование
Discipline,Дисциплина
Assigned Scouts,Назначенные разведчики
Auto-Scout Mode,Режим авторазведки
Find foes,Искать врагов
Avoid Foes,Избегать врагов
Ventures,Авантюры
perk,навык
item,предмет
gear,механизм
Equipped,экипировано
Post no guards,Отсутствие охраны
Post guards (sufficient armed crew),Выставить охрану (достаточно вооруженный экипаж)
Post extra guards (sufficient armed crew),Выставить дополнительную охрану (достаточно вооруженный экипаж)
No bonuses; No penalties,Нет бонусов; Нет штрафов
No bonuses,Нет бонусов
No penalties,Никаких штрафов
you have,у вас есть
Gain X Obedience,+X к послушшанию
Gain X Supplies,+X к припасам
Odd Jobs,Подённая работа
leaves your /comitatus/,покидают ваш /комитат/
tag,тэг
Tags,Тэги
Mammal,Млекопитающее
